# freq_Hz	asymmetry	error
9.5500000000e+07	-7.8163109599e-01	1.4729360290e-02
9.5523958000e+07	-7.8440782665e-01	1.0047834254e-02
9.5547916000e+07	-8.0312519051e-01	1.3918995311e-02
9.5571875000e+07	-7.9206344787e-01	1.5299533534e-02
9.5595833000e+07	-7.7940671534e-01	1.2045439770e-02
9.5619791000e+07	-7.9178515478e-01	1.3715589495e-02
9.5643750000e+07	-7.7465880565e-01	1.4028905741e-02
9.5667708000e+07	-7.9004669019e-01	1.4646455522e-02
9.5691666000e+07	-7.8871647321e-01	1.1933969091e-02
9.5715624000e+07	-8.1123041344e-01	1.2903253387e-02
9.5739583000e+07	-8.1060247872e-01	1.3919305686e-02
9.5763541000e+07	-7.7630444134e-01	1.2308411692e-02
9.5787500000e+07	-7.8873624617e-01	1.0914501938e-02
9.5800000000e+07	-7.8178630220e-01	9.5221308580e-03
9.5812500000e+07	-7.6267251724e-01	1.0494468965e-02
9.5825000000e+07	-7.8800720953e-01	9.3799981573e-03
9.5837499000e+07	-7.8359031667e-01	1.0159853511e-02
9.5850000000e+07	-7.8185247709e-01	1.0008487050e-02
9.5862500000e+07	-7.7764148633e-01	1.0604370451e-02
9.5875000000e+07	-7.6191226999e-01	9.2016304022e-03
9.5887500000e+07	-7.4838459810e-01	9.3860404786e-03
9.5899999000e+07	-7.3359445405e-01	1.0268368760e-02
9.5912500000e+07	-7.3424717389e-01	9.7479552633e-03
9.5925000000e+07	-7.2899720676e-01	9.1467131110e-03
9.5937500000e+07	-7.4130872365e-01	9.7668266746e-03
9.5949999000e+07	-7.3445201439e-01	1.0622685199e-02
9.5962499000e+07	-7.4044938087e-01	9.2590248543e-03
9.5975000000e+07	-7.3575034982e-01	9.7637470631e-03
9.5987500000e+07	-7.1931420582e-01	1.0019345018e-02
9.6000000000e+07	-7.1630436644e-01	8.8638546092e-03
9.6012499000e+07	-7.2020275468e-01	9.8466738172e-03
9.6024999000e+07	-7.5653261371e-01	1.0432386567e-02
9.6037500000e+07	-7.4432892440e-01	1.0300902086e-02
9.6050000000e+07	-7.6900939607e-01	9.0099640727e-03
9.6062500000e+07	-7.7200785968e-01	9.3868986232e-03
9.6074999000e+07	-7.7818557337e-01	1.0564141617e-02
9.6087499000e+07	-7.6412488945e-01	9.3079601039e-03
9.6100000000e+07	-7.8299704410e-01	8.7311425401e-03
9.6113265000e+07	-7.6014101354e-01	1.0314971092e-02
9.6126530000e+07	-7.5493317297e-01	1.2777461979e-02
9.6139795000e+07	-7.5714908707e-01	1.2139358576e-02
9.6153061000e+07	-7.4330279329e-01	1.1914142466e-02
9.6166326000e+07	-7.4395677241e-01	1.0327814211e-02
9.6179591000e+07	-7.4720079778e-01	1.4754472161e-02
9.6192857000e+07	-7.4188144359e-01	1.0538027710e-02
9.6206122000e+07	-7.6435167322e-01	1.2200786019e-02
9.6219387000e+07	-7.4282647922e-01	1.2020633524e-02
9.6232653000e+07	-7.8841316933e-01	1.3517005609e-02
9.6245918000e+07	-7.7091227050e-01	1.3568073716e-02
9.6259183000e+07	-7.5301791175e-01	1.1938433753e-02
9.6272448000e+07	-7.7797854121e-01	1.3391473176e-02
9.6285714000e+07	-7.6463568337e-01	1.1948757300e-02
9.6298979000e+07	-7.4571875596e-01	1.4391738417e-02
9.6312244000e+07	-7.4783435618e-01	1.1814791471e-02
9.6325510000e+07	-7.4968696960e-01	1.4470730481e-02
9.6338775000e+07	-7.4719067099e-01	1.4687355915e-02
9.6352040000e+07	-6.9701915219e-01	1.3937467917e-02
9.6365306000e+07	-6.7205045035e-01	9.6372765309e-03
9.6378571000e+07	-6.2588426972e-01	1.3562232734e-02
9.6391836000e+07	-6.4439694729e-01	1.1607877571e-02
9.6405102000e+07	-6.5069827279e-01	1.4475529919e-02
9.6418367000e+07	-6.8867804310e-01	1.2336221550e-02
9.6431632000e+07	-6.9673292225e-01	1.2615333996e-02
9.6444897000e+07	-7.4882110393e-01	1.0337743853e-02
9.6458163000e+07	-7.5759147761e-01	1.3379459459e-02
9.6471428000e+07	-7.3952034094e-01	1.2872811385e-02
9.6484693000e+07	-7.4916892998e-01	1.3009222884e-02
9.6497959000e+07	-7.4984991210e-01	1.4640451299e-02
9.6511224000e+07	-7.5959525287e-01	1.6002706489e-02
9.6524489000e+07	-7.4840647334e-01	1.3907898063e-02
9.6537755000e+07	-7.3359959502e-01	1.2553497760e-02
9.6551020000e+07	-7.1429181268e-01	1.0366456244e-02
9.6564285000e+07	-6.9698580824e-01	1.3154127008e-02
9.6577551000e+07	-7.1162793346e-01	1.2048952880e-02
9.6590816000e+07	-7.4480589049e-01	1.3607504899e-02
9.6604081000e+07	-7.1915729670e-01	1.3297103187e-02
9.6617346000e+07	-7.5898568283e-01	1.3225286973e-02
9.6630612000e+07	-7.3302927517e-01	1.2310175637e-02
9.6643877000e+07	-7.8129901328e-01	1.4540500611e-02
9.6657142000e+07	-7.5567170889e-01	1.0682607206e-02
9.6670408000e+07	-7.5105347018e-01	1.1719064074e-02
9.6683673000e+07	-7.5108119136e-01	1.0665829213e-02
9.6696938000e+07	-7.3622215363e-01	1.3128955488e-02
9.6710204000e+07	-7.6567337346e-01	1.3407303210e-02
9.6723469000e+07	-7.5918989981e-01	1.0946326123e-02
9.6736734000e+07	-7.6713502513e-01	1.1024499603e-02
9.6750000000e+07	-7.4338067801e-01	1.5385870642e-02
