# freq_Hz	asymmetry	error
9.5520000000e+07	-8.1240867323e-01	1.1598627268e-02
9.5532272000e+07	-8.1388610673e-01	1.6181660383e-02
9.5544545000e+07	-8.0409949880e-01	1.1312930351e-02
9.5556818000e+07	-7.9626711454e-01	1.4107692313e-02
9.5569090000e+07	-8.0954904474e-01	1.2310185490e-02
9.5581363000e+07	-8.1443370614e-01	1.3505602219e-02
9.5593636000e+07	-8.0309417458e-01	1.1898453685e-02
9.5605909000e+07	-8.0220631758e-01	1.2722295188e-02
9.5618181000e+07	-7.7685074023e-01	1.3786867238e-02
9.5630454000e+07	-7.5344600001e-01	9.5542749176e-03
9.5642727000e+07	-7.1678298715e-01	1.0441203394e-02
9.5655000000e+07	-6.7204984319e-01	1.1735640209e-02
9.5667272000e+07	-6.7176072037e-01	1.1690970460e-02
9.5679545000e+07	-6.8353663488e-01	1.2743625173e-02
9.5691818000e+07	-7.2261146347e-01	1.6035094072e-02
9.5704090000e+07	-7.4404684477e-01	1.2814501106e-02
9.5716363000e+07	-7.8624354885e-01	1.4404788767e-02
9.5728636000e+07	-7.8366443494e-01	1.2851711902e-02
9.5740909000e+07	-7.9890221545e-01	1.5103155504e-02
9.5753181000e+07	-7.9850688931e-01	1.3494704038e-02
9.5765454000e+07	-7.9975743673e-01	1.4037681723e-02
9.5777727000e+07	-8.0879099203e-01	1.4368155379e-02
9.5789999000e+07	-8.1734881760e-01	1.4039138347e-02
9.5802272000e+07	-8.1207663745e-01	1.1321355971e-02
9.5814545000e+07	-7.8259573491e-01	1.4530655251e-02
9.5826818000e+07	-8.2562128069e-01	1.4826277893e-02
9.5839090000e+07	-7.7786663703e-01	1.0602175494e-02
9.5851363000e+07	-7.8766683314e-01	1.1991536015e-02
9.5863636000e+07	-7.8583975668e-01	1.4541326991e-02
9.5875909000e+07	-7.9453536850e-01	1.5883891272e-02
9.5888181000e+07	-7.8299272065e-01	1.4520796860e-02
9.5900454000e+07	-7.9247032665e-01	1.5809390220e-02
9.5912727000e+07	-8.1698309906e-01	1.4721490489e-02
9.5925000000e+07	-7.7511989664e-01	1.5466900418e-02
9.5937272000e+07	-8.0040635324e-01	1.4739286909e-02
9.5949545000e+07	-7.9973154595e-01	1.4605750009e-02
9.5961818000e+07	-7.9523754850e-01	1.3942257615e-02
9.5974090000e+07	-7.8175183117e-01	1.4117706604e-02
9.5986363000e+07	-7.9023429415e-01	1.2596114852e-02
9.5998636000e+07	-7.9179523551e-01	1.2472168851e-02
9.6010909000e+07	-7.7464554990e-01	1.0880189220e-02
9.6023181000e+07	-7.9786403832e-01	1.0507614628e-02
9.6035454000e+07	-7.9726234581e-01	1.3705214374e-02
9.6047727000e+07	-7.9434593311e-01	1.3321182635e-02
9.6060000000e+07	-8.0248443937e-01	8.0676496594e-03
9.6072272000e+07	-7.8140158298e-01	1.4297672483e-02
9.6084545000e+07	-8.0714544442e-01	9.7579818630e-03
9.6096818000e+07	-7.9511167805e-01	1.5990224483e-02
9.6109090000e+07	-7.6767757307e-01	1.3420223658e-02
9.6121363000e+07	-7.2356968726e-01	1.3228526103e-02
9.6133636000e+07	-7.1493447547e-01	1.1092385740e-02
9.6145909000e+07	-6.8948584255e-01	1.3605597384e-02
9.6158181000e+07	-6.7763093001e-01	1.2982570027e-02
9.6170454000e+07	-6.8878519413e-01	1.4440665197e-02
9.6182727000e+07	-7.2042822941e-01	1.3974795541e-02
9.6195000000e+07	-7.6229014132e-01	1.1791482388e-02
9.6207272000e+07	-7.2871812862e-01	1.1560653648e-02
9.6219545000e+07	-7.3022511443e-01	1.4558048161e-02
9.6231818000e+07	-7.0575583211e-01	1.0274793802e-02
9.6244090000e+07	-7.1699713751e-01	1.0956750901e-02
9.6256363000e+07	-6.8936136803e-01	1.3279696492e-02
9.6268636000e+07	-7.1336999073e-01	1.8146097284e-02
9.6280909000e+07	-7.6346900919e-01	1.6841612241e-02
9.6293181000e+07	-7.8483909774e-01	1.2859537681e-02
9.6305454000e+07	-8.0011973842e-01	1.3778624052e-02
9.6317727000e+07	-7.8698564586e-01	1.3152119368e-02
9.6330000000e+07	-7.9573453873e-01	1.3834711806e-02
9.6342272000e+07	-7.8587583751e-01	1.1411087345e-02
9.6354545000e+07	-8.0531859033e-01	1.3519670867e-02
9.6366818000e+07	-7.7190729571e-01	1.6055342525e-02
9.6379090000e+07	-7.8335378128e-01	1.1360891675e-02
9.6391363000e+07	-7.9912623878e-01	1.1104430368e-02
9.6403636000e+07	-8.2743858806e-01	1.6708338905e-02
9.6415909000e+07	-8.0337964440e-01	1.4950651242e-02
9.6428181000e+07	-7.9717931572e-01	1.4308450718e-02
9.6440454000e+07	-7.9463685337e-01	1.1931988781e-02
9.6452727000e+07	-8.0881372047e-01	1.2543952746e-02
9.6465000000e+07	-7.7097939191e-01	1.1958317574e-02
9.6477272000e+07	-7.9330717980e-01	1.2296062513e-02
9.6489545000e+07	-7.8834284464e-01	1.5344887565e-02
9.6501818000e+07	-8.0083809765e-01	1.3643932185e-02
9.6514090000e+07	-7.6078883849e-01	1.4208389883e-02
9.6526363000e+07	-7.8184066080e-01	1.4583641230e-02
9.6538636000e+07	-8.1064355863e-01	1.5086869249e-02
9.6550909000e+07	-8.0499547086e-01	1.4342320354e-02
9.6563181000e+07	-7.9326968340e-01	1.2039980747e-02
9.6575454000e+07	-7.9913019161e-01	1.1158202429e-02
9.6587727000e+07	-8.0405274814e-01	1.1629363408e-02
9.6600000000e+07	-7.8204237757e-01	1.5037923408e-02
