spectrum_id,Ez_V_per_cm,Bz_G,nu_obs_MHz,sigma_MHz
spec0,0,0,375.16315599999996,0.1
spec0,0,0,375.67789400000004,0.1
spec10,10,0,374.269472,0.1
spec10,10,0,374.623156,0.1
spec10,10,0,374.854736,0.1
spec10,10,0,375.239472,0.1
spec20,20,0,371.94241999999997,0.1
spec20,20,0,372.7661,0.1
spec20,20,0,372.96949,0.1
spec20,20,0,374.047456,0.1
spec20,20,0,374.230508,0.1
spec40,40,0,365.091524,0.1
spec40,40,0,366.57627,0.1
spec40,40,0,368.36609999999996,0.1
spec40,40,0,368.67118600000003,0.1
spec40,40,0,369.873468,0.1
spec40,40,0,370.40408,0.1
spec40,40,0,372.216948,0.1
